customer_id;checking_account;duration_moonths;credit_history;purpose;credit_amount;savings;present_employment_since;installment_rate;personal_status_sex;other_deptors;present_residence;property;age_yearsyears;other_installment_plans;housing;existing_credits;job;people_liable_maintenance;telephone;foreign_worker;response
13;0 <= ... <  102 euro;12;existing credits paid back duly till now;radio/television;1567;... <  51 euro;1  <= ... < 4 years;1;female : divorced/separated/married;none;1;(if not optin 1 or 2) car or other, not in attribute;22;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
14;... <  0 euro;24;critical account/other credits existing (not at this bank);car (new);1199;... <  51 euro;.. >= 7 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;60;none;own;2;unskilled - resident;1;none;yes;1
15;... <  0 euro;15;existing credits paid back duly till now;car (new);1403;... <  51 euro;1  <= ... < 4 years;2;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;28;none;rent;1;skilled employee / official;1;none;yes;0
16;... <  0 euro;24;existing credits paid back duly till now;radio/television;1282;51 <= ... <  255 euro;1  <= ... < 4 years;4;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;32;none;own;1;unskilled - resident;1;none;yes;1
17;No checking account;24;critical account/other credits existing (not at this bank);radio/television;2424;unknown/ no savings account;.. >= 7 years;4;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;53;none;own;2;skilled employee / official;1;none;yes;0
18;... <  0 euro;30;no credits taken/ all credits paid back duly;business;8072;unknown/ no savings account;... < 1 year;2;male   : single;none;3;(if not optin 1 or 2) car or other, not in attribute;25;bank;own;3;skilled employee / official;1;none;yes;0
19;0 <= ... <  102 euro;24;existing credits paid back duly till now;car (used);12579;... <  51 euro;.. >= 7 years;4;female : divorced/separated/married;none;2;unknown / no property;44;none;for free;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
20;No checking account;;existing credits paid back duly till now;radio/television;3430;255 euro <= ... < 511 euro;.. >= 7 years;3;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;31;none;own;1;skilled employee / official;2;yes, registered under the customers name;yes;0
21;No checking account;9;critical account/other credits existing (not at this bank);car (new);2134;... <  51 euro;1  <= ... < 4 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;48;none;own;3;skilled employee / official;1;yes, registered under the customers name;yes;0
22;... <  0 euro;6;existing credits paid back duly till now;radio/television;2647;255 euro <= ... < 511 euro;1  <= ... < 4 years;2;male   : single;none;3;real estate;44;none;rent;1;skilled employee / official;2;none;yes;0
23;... <  0 euro;10;critical account/other credits existing (not at this bank);car (new);2241;... <  51 euro;... < 1 year;1;male   : single;none;3;real estate;48;none;rent;2;unskilled - resident;2;none;no;0
24;0 <= ... <  102 euro;12;critical account/other credits existing (not at this bank);car (used);1804;51 <= ... <  255 euro;... < 1 year;3;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;44;none;own;1;skilled employee / official;1;none;yes;0
25;No checking account;10;critical account/other credits existing (not at this bank);furniture/equipment;2069;unknown/ no savings account;1  <= ... < 4 years;2;male   : married/widowed;none;1;(if not optin 1 or 2) car or other, not in attribute;26;none;own;2;skilled employee / official;1;none;no;0
26;... <  0 euro;6;existing credits paid back duly till now;furniture/equipment;1374;... <  51 euro;1  <= ... < 4 years;1;male   : single;none;2;real estate;36;bank;own;1;unskilled - resident;1;yes, registered under the customers name;yes;0
27;No checking account;6;no credits taken/ all credits paid back duly;radio/television;426;... <  51 euro;.. >= 7 years;4;male   : married/widowed;none;4;(if not optin 1 or 2) car or other, not in attribute;39;none;own;1;unskilled - resident;1;none;yes;0
28;>= 102 euro;12;all credits at this bank paid back duly;radio/television;409;.. >= 511 euro;1  <= ... < 4 years;3;female : divorced/separated/married;none;3;real estate;42;none;rent;2;skilled employee / official;1;none;yes;0
29;0 <= ... <  102 euro;7;existing credits paid back duly till now;radio/television;2415;... <  51 euro;1  <= ... < 4 years;3;male   : single;guarantor;2;real estate;34;none;own;1;skilled employee / official;1;none;yes;0
30;... <  0 euro;60;delay in paying off in the past;business;6836;... <  51 euro;.. >= 7 years;3;male   : single;none;4;unknown / no property;63;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;1
31;0 <= ... <  102 euro;18;existing credits paid back duly till now;business;1913;.. >= 511 euro;... < 1 year;3;male   : married/widowed;none;3;real estate;36;bank;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
32;... <  0 euro;24;existing credits paid back duly till now;furniture/equipment;4020;... <  51 euro;1  <= ... < 4 years;2;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;27;stores;own;1;skilled employee / official;1;none;yes;0
33;0 <= ... <  102 euro;18;existing credits paid back duly till now;car (new);5866;51 <= ... <  255 euro;1  <= ... < 4 years;2;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;30;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;0
34;No checking account;12;critical account/other credits existing (not at this bank);business;1264;unknown/ no savings account;.. >= 7 years;4;male   : single;none;4;unknown / no property;57;none;rent;1;unskilled - resident;1;none;yes;0
35;>= 102 euro;12;existing credits paid back duly till now;furniture/equipment;1474;... <  51 euro;... < 1 year;4;female : divorced/separated/married;none;1;(if not real estate) building society savings agreement/ life insurance;33;bank;own;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
36;0 <= ... <  102 euro;45;critical account/other credits existing (not at this bank);radio/television;4746;... <  51 euro;... < 1 year;4;male   : single;none;2;(if not real estate) building society savings agreement/ life insurance;25;none;own;2;unskilled - resident;1;none;yes;1
37;No checking account;48;critical account/other credits existing (not at this bank);education;6110;... <  51 euro;1  <= ... < 4 years;1;male   : single;none;3;unknown / no property;31;bank;for free;1;skilled employee / official;1;yes, registered under the customers name;yes;0
38;>= 102 euro;18;existing credits paid back duly till now;radio/television;2100;... <  51 euro;1  <= ... < 4 years;4;male   : single;co-applicant;2;real estate;37;stores;own;1;skilled employee / official;1;none;yes;1
39;>= 102 euro;10;existing credits paid back duly till now;domestic appliances;1225;... <  51 euro;1  <= ... < 4 years;2;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;37;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
40;0 <= ... <  102 euro;9;existing credits paid back duly till now;radio/television;458;... <  51 euro;1  <= ... < 4 years;4;male   : single;none;3;real estate;24;none;own;1;skilled employee / official;1;none;yes;0
41;No checking account;30;existing credits paid back duly till now;radio/television;2333;255 euro <= ... < 511 euro;.. >= 7 years;4;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;30;bank;own;1;management/ self-employed/highly qualified employee/ officer;1;none;yes;0
42;0 <= ... <  102 euro;12;existing credits paid back duly till now;radio/television;1158;255 euro <= ... < 511 euro;1  <= ... < 4 years;3;male   : divorced/separated;none;1;(if not optin 1 or 2) car or other, not in attribute;26;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
43;0 <= ... <  102 euro;18;delay in paying off in the past;repairs;6204;... <  51 euro;1  <= ... < 4 years;2;male   : single;none;4;real estate;;none;own;1;unskilled - resident;2;yes, registered under the customers name;yes;0
44;... <  0 euro;30;critical account/other credits existing (not at this bank);car (used);6187;51 <= ... <  255 euro;4  <= ... < 7 years;1;male   : married/widowed;none;4;(if not optin 1 or 2) car or other, not in attribute;24;none;rent;2;skilled employee / official;1;none;yes;0
45;... <  0 euro;48;critical account/other credits existing (not at this bank);car (used);6143;... <  51 euro;.. >= 7 years;4;female : divorced/separated/married;none;4;unknown / no property;58;stores;for free;2;unskilled - resident;1;none;yes;1
46;No checking account;11;critical account/other credits existing (not at this bank);car (new);1393;... <  51 euro;... < 1 year;4;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;35;none;own;2;management/ self-employed/highly qualified employee/ officer;1;none;yes;0
47;No checking account;36;existing credits paid back duly till now;radio/television;2299;255 euro <= ... < 511 euro;.. >= 7 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;39;none;own;1;skilled employee / official;1;none;yes;0
48;... <  0 euro;6;existing credits paid back duly till now;car (used);1352;255 euro <= ... < 511 euro;unemployed;1;female : divorced/separated/married;none;2;(if not real estate) building society savings agreement/ life insurance;23;none;rent;1;unemployed/ unskilled  - non-resident;1;yes, registered under the customers name;yes;0
49;No checking account;11;critical account/other credits existing (not at this bank);car (new);7228;... <  51 euro;1  <= ... < 4 years;1;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;39;none;own;2;unskilled - resident;1;none;yes;0
50;No checking account;12;existing credits paid back duly till now;radio/television;2073;51 <= ... <  255 euro;1  <= ... < 4 years;4;female : divorced/separated/married;co-applicant;2;real estate;28;none;own;1;skilled employee / official;1;none;yes;0
51;0 <= ... <  102 euro;24;delay in paying off in the past;furniture/equipment;2333;unknown/ no savings account;... < 1 year;4;male   : single;none;2;(if not real estate) building society savings agreement/ life insurance;29;bank;own;1;unskilled - resident;1;none;yes;0
52;0 <= ... <  102 euro;27;delay in paying off in the past;car (used);5965;... <  51 euro;.. >= 7 years;1;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;30;none;own;2;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
53;No checking account;12;existing credits paid back duly till now;radio/television;1262;... <  51 euro;1  <= ... < 4 years;3;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;25;none;own;1;skilled employee / official;1;none;yes;0
54;No checking account;18;existing credits paid back duly till now;car (used);3378;unknown/ no savings account;1  <= ... < 4 years;2;male   : single;none;1;(if not real estate) building society savings agreement/ life insurance;31;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
55;0 <= ... <  102 euro;36;delay in paying off in the past;car (new);2225;... <  51 euro;.. >= 7 years;4;male   : single;none;4;unknown / no property;57;bank;for free;2;skilled employee / official;1;yes, registered under the customers name;yes;1
56;No checking account;6;all credits at this bank paid back duly;car (new);783;unknown/ no savings account;1  <= ... < 4 years;1;male   : single;guarantor;2;real estate;26;stores;own;1;unskilled - resident;2;none;yes;0
57;0 <= ... <  102 euro;12;existing credits paid back duly till now;radio/television;6468;unknown/ no savings account;unemployed;2;male   : single;none;1;unknown / no property;52;none;own;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
58;No checking account;36;critical account/other credits existing (not at this bank);radio/television;9566;... <  51 euro;1  <= ... < 4 years;2;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;31;stores;own;2;skilled employee / official;1;none;yes;0
59;>= 102 euro;18;existing credits paid back duly till now;car (new);1961;... <  51 euro;.. >= 7 years;3;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;23;none;own;1;management/ self-employed/highly qualified employee/ officer;1;none;yes;0
60;... <  0 euro;36;critical account/other credits existing (not at this bank);furniture/equipment;6229;... <  51 euro;... < 1 year;4;female : divorced/separated/married;co-applicant;4;unknown / no property;23;none;rent;2;unskilled - resident;1;yes, registered under the customers name;yes;1
61;0 <= ... <  102 euro;9;existing credits paid back duly till now;business;1391;... <  51 euro;1  <= ... < 4 years;2;male   : married/widowed;none;1;real estate;27;bank;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
62;0 <= ... <  102 euro;15;critical account/other credits existing (not at this bank);radio/television;1537;unknown/ no savings account;.. >= 7 years;4;male   : single;guarantor;4;real estate;50;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;0
63;0 <= ... <  102 euro;36;no credits taken/ all credits paid back duly;business;1953;... <  51 euro;.. >= 7 years;4;male   : single;none;4;unknown / no property;61;none;for free;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
64;0 <= ... <  102 euro;48;no credits taken/ all credits paid back duly;business;14421;... <  51 euro;1  <= ... < 4 years;2;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;25;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;1
65;No checking account;24;existing credits paid back duly till now;radio/television;3181;... <  51 euro;... < 1 year;4;female : divorced/separated/married;none;4;(if not real estate) building society savings agreement/ life insurance;26;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
66;No checking account;27;existing credits paid back duly till now;repairs;5190;unknown/ no savings account;.. >= 7 years;4;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;48;none;own;4;skilled employee / official;2;yes, registered under the customers name;yes;0
67;No checking account;12;existing credits paid back duly till now;radio/television;2171;... <  51 euro;... < 1 year;2;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;29;bank;own;1;skilled employee / official;1;none;yes;0
68;0 <= ... <  102 euro;12;existing credits paid back duly till now;car (new);1007;.. >= 511 euro;1  <= ... < 4 years;4;male   : married/widowed;none;1;real estate;22;none;own;1;skilled employee / official;1;none;yes;0
69;No checking account;36;existing credits paid back duly till now;education;1819;... <  51 euro;1  <= ... < 4 years;4;male   : single;none;4;unknown / no property;37;stores;for free;1;skilled employee / official;1;yes, registered under the customers name;yes;1
70;No checking account;36;existing credits paid back duly till now;radio/television;2394;unknown/ no savings account;1  <= ... < 4 years;4;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;25;none;own;1;skilled employee / official;1;none;yes;0
71;No checking account;36;existing credits paid back duly till now;car (used);8133;... <  51 euro;1  <= ... < 4 years;1;female : divorced/separated/married;none;2;(if not real estate) building society savings agreement/ life insurance;30;bank;own;1;skilled employee / official;1;none;yes;0
72;No checking account;7;critical account/other credits existing (not at this bank);radio/television;730;unknown/ no savings account;.. >= 7 years;4;male   : single;none;2;(if not real estate) building society savings agreement/ life insurance;46;none;rent;2;unskilled - resident;1;yes, registered under the customers name;yes;0
73;... <  0 euro;8;critical account/other credits existing (not at this bank);others;1164;... <  51 euro;.. >= 7 years;3;male   : single;none;4;unknown / no property;51;bank;for free;2;management/ self-employed/highly qualified employee/ officer;2;yes, registered under the customers name;yes;0
74;0 <= ... <  102 euro;42;critical account/other credits existing (not at this bank);business;5954;... <  51 euro;4  <= ... < 7 years;2;female : divorced/separated/married;none;1;real estate;41;bank;own;2;unskilled - resident;1;none;yes;0
75;... <  0 euro;36;existing credits paid back duly till now;education;1977;unknown/ no savings account;.. >= 7 years;4;male   : single;none;4;unknown / no property;40;none;own;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
76;... <  0 euro;12;critical account/other credits existing (not at this bank);car (used);1526;... <  51 euro;.. >= 7 years;4;male   : single;none;4;unknown / no property;66;none;for free;2;management/ self-employed/highly qualified employee/ officer;1;none;yes;0
77;... <  0 euro;42;existing credits paid back duly till now;radio/television;3965;... <  51 euro;... < 1 year;4;male   : single;none;3;(if not optin 1 or 2) car or other, not in attribute;34;none;own;1;skilled employee / official;1;none;yes;1
78;0 <= ... <  102 euro;11;delay in paying off in the past;radio/television;4771;... <  51 euro;4  <= ... < 7 years;2;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;51;none;own;1;skilled employee / official;1;none;yes;0
79;No checking account;54;no credits taken/ all credits paid back duly;car (used);9436;unknown/ no savings account;1  <= ... < 4 years;2;male   : single;none;2;(if not real estate) building society savings agreement/ life insurance;39;none;own;1;unskilled - resident;2;none;yes;0
80;0 <= ... <  102 euro;30;existing credits paid back duly till now;furniture/equipment;3832;... <  51 euro;... < 1 year;2;male   : married/widowed;none;1;(if not real estate) building society savings agreement/ life insurance;22;none;own;1;skilled employee / official;1;none;yes;0
81;No checking account;24;existing credits paid back duly till now;radio/television;5943;unknown/ no savings account;... < 1 year;1;female : divorced/separated/married;none;1;(if not optin 1 or 2) car or other, not in attribute;44;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;1
82;No checking account;15;existing credits paid back duly till now;radio/television;1213;255 euro <= ... < 511 euro;.. >= 7 years;4;male   : single;none;3;(if not real estate) building society savings agreement/ life insurance;47;stores;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
83;No checking account;18;existing credits paid back duly till now;business;1568;51 <= ... <  255 euro;1  <= ... < 4 years;3;female : divorced/separated/married;none;4;(if not real estate) building society savings agreement/ life insurance;24;none;rent;1;unskilled - resident;1;none;yes;0
84;... <  0 euro;24;existing credits paid back duly till now;others;1755;... <  51 euro;.. >= 7 years;4;female : divorced/separated/married;guarantor;4;real estate;58;none;own;1;unskilled - resident;1;yes, registered under the customers name;yes;0
85;... <  0 euro;10;existing credits paid back duly till now;radio/television;2315;... <  51 euro;.. >= 7 years;3;male   : single;none;4;real estate;52;none;own;1;unskilled - resident;1;none;yes;0
86;No checking account;12;critical account/other credits existing (not at this bank);business;1412;... <  51 euro;1  <= ... < 4 years;4;female : divorced/separated/married;guarantor;2;real estate;29;none;own;2;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
87;0 <= ... <  102 euro;18;critical account/other credits existing (not at this bank);furniture/equipment;1295;... <  51 euro;... < 1 year;4;female : divorced/separated/married;none;1;(if not real estate) building society savings agreement/ life insurance;27;none;own;2;skilled employee / official;1;none;yes;0
88;0 <= ... <  102 euro;36;existing credits paid back duly till now;education;12612;51 <= ... <  255 euro;1  <= ... < 4 years;1;male   : single;none;4;unknown / no property;47;none;for free;1;skilled employee / official;2;yes, registered under the customers name;yes;1
89;... <  0 euro;18;existing credits paid back duly till now;car (new);2249;51 <= ... <  255 euro;4  <= ... < 7 years;4;male   : single;none;3;(if not optin 1 or 2) car or other, not in attribute;30;none;own;1;management/ self-employed/highly qualified employee/ officer;2;yes, registered under the customers name;yes;0
90;... <  0 euro;12;no credits taken/ all credits paid back duly;repairs;1108;... <  51 euro;4  <= ... < 7 years;4;male   : single;none;3;real estate;28;none;own;2;skilled employee / official;1;none;yes;1
91;No checking account;12;critical account/other credits existing (not at this bank);radio/television;618;... <  51 euro;.. >= 7 years;4;male   : single;none;4;real estate;56;none;own;1;skilled employee / official;1;none;yes;0
92;... <  0 euro;12;critical account/other credits existing (not at this bank);car (used);1409;... <  51 euro;.. >= 7 years;4;male   : single;none;3;real estate;54;none;own;1;skilled employee / official;1;none;yes;0
93;No checking account;12;critical account/other credits existing (not at this bank);radio/television;797;unknown/ no savings account;.. >= 7 years;4;female : divorced/separated/married;none;3;(if not real estate) building society savings agreement/ life insurance;33;bank;own;1;unskilled - resident;2;none;yes;1
94;>= 102 euro;24;critical account/other credits existing (not at this bank);furniture/equipment;3617;unknown/ no savings account;.. >= 7 years;4;male   : single;co-applicant;4;unknown / no property;20;none;rent;2;skilled employee / official;1;none;yes;0
95;0 <= ... <  102 euro;12;existing credits paid back duly till now;car (new);1318;.. >= 511 euro;.. >= 7 years;4;male   : single;none;4;real estate;54;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
96;0 <= ... <  102 euro;54;no credits taken/ all credits paid back duly;business;15945;... <  51 euro;... < 1 year;3;male   : single;none;4;unknown / no property;58;none;rent;1;skilled employee / official;1;yes, registered under the customers name;yes;1
97;No checking account;12;critical account/other credits existing (not at this bank);education;2012;unknown/ no savings account;4  <= ... < 7 years;4;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;61;none;own;1;skilled employee / official;1;none;yes;0
98;0 <= ... <  102 euro;18;existing credits paid back duly till now;business;2622;51 <= ... <  255 euro;1  <= ... < 4 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;34;none;own;1;skilled employee / official;1;none;yes;0
99;0 <= ... <  102 euro;36;critical account/other credits existing (not at this bank);radio/television;2337;... <  51 euro;.. >= 7 years;4;male   : single;none;4;real estate;36;none;own;1;skilled employee / official;1;none;yes;0
100;0 <= ... <  102 euro;20;delay in paying off in the past;car (used);7057;unknown/ no savings account;4  <= ... < 7 years;3;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;36;bank;rent;2;management/ self-employed/highly qualified employee/ officer;2;yes, registered under the customers name;yes;0
101;No checking account;24;existing credits paid back duly till now;car (new);1469;51 <= ... <  255 euro;.. >= 7 years;4;male   : married/widowed;none;4;real estate;41;none;rent;1;unskilled - resident;1;none;yes;0
102;0 <= ... <  102 euro;36;existing credits paid back duly till now;radio/television;2323;... <  51 euro;4  <= ... < 7 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;24;none;rent;1;skilled employee / official;1;none;yes;0
103;No checking account;6;delay in paying off in the past;radio/television;932;... <  51 euro;1  <= ... < 4 years;3;female : divorced/separated/married;none;2;real estate;24;none;own;1;skilled employee / official;1;none;yes;0
104;0 <= ... <  102 euro;9;critical account/other credits existing (not at this bank);furniture/equipment;1919;... <  51 euro;4  <= ... < 7 years;4;male   : single;none;3;(if not optin 1 or 2) car or other, not in attribute;35;none;rent;1;skilled employee / official;1;yes, registered under the customers name;yes;0
105;No checking account;12;existing credits paid back duly till now;car (used);2445;unknown/ no savings account;... < 1 year;2;male   : married/widowed;none;4;(if not optin 1 or 2) car or other, not in attribute;26;none;rent;1;skilled employee / official;1;yes, registered under the customers name;yes;0
106;0 <= ... <  102 euro;24;critical account/other credits existing (not at this bank);others;11938;... <  51 euro;1  <= ... < 4 years;2;male   : single;co-applicant;3;(if not optin 1 or 2) car or other, not in attribute;39;none;own;2;management/ self-employed/highly qualified employee/ officer;2;yes, registered under the customers name;yes;1
107;No checking account;18;all credits at this bank paid back duly;car (new);6458;... <  51 euro;.. >= 7 years;2;male   : single;none;4;unknown / no property;39;bank;own;2;management/ self-employed/highly qualified employee/ officer;2;yes, registered under the customers name;yes;1
108;0 <= ... <  102 euro;12;existing credits paid back duly till now;car (new);6078;... <  51 euro;4  <= ... < 7 years;2;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;32;none;own;1;skilled employee / official;1;none;yes;0
109;... <  0 euro;24;existing credits paid back duly till now;furniture/equipment;7721;unknown/ no savings account;... < 1 year;1;female : divorced/separated/married;none;2;(if not real estate) building society savings agreement/ life insurance;30;none;own;1;skilled employee / official;1;yes, registered under the customers name;no;0
110;0 <= ... <  102 euro;14;existing credits paid back duly till now;business;1410;255 euro <= ... < 511 euro;.. >= 7 years;1;male   : married/widowed;none;2;real estate;35;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
111;0 <= ... <  102 euro;6;delay in paying off in the past;business;1449;51 <= ... <  255 euro;.. >= 7 years;1;male   : divorced/separated;none;2;(if not optin 1 or 2) car or other, not in attribute;31;bank;own;2;skilled employee / official;2;none;yes;0
112;>= 102 euro;15;existing credits paid back duly till now;education;392;... <  51 euro;... < 1 year;4;female : divorced/separated/married;none;4;(if not real estate) building society savings agreement/ life insurance;23;none;rent;1;skilled employee / official;1;yes, registered under the customers name;yes;0
113;0 <= ... <  102 euro;18;existing credits paid back duly till now;car (new);6260;... <  51 euro;4  <= ... < 7 years;3;male   : single;none;3;real estate;28;none;rent;1;unskilled - resident;1;none;yes;0
114;No checking account;36;critical account/other credits existing (not at this bank);car (new);7855;... <  51 euro;1  <= ... < 4 years;4;female : divorced/separated/married;none;2;real estate;25;stores;own;2;skilled employee / official;1;yes, registered under the customers name;yes;1
115;... <  0 euro;12;existing credits paid back duly till now;radio/television;1680;255 euro <= ... < 511 euro;.. >= 7 years;3;male   : married/widowed;none;1;real estate;35;none;own;1;skilled employee / official;1;none;yes;0
116;No checking account;48;critical account/other credits existing (not at this bank);radio/television;3578;unknown/ no savings account;.. >= 7 years;4;male   : single;none;1;real estate;47;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
117;... <  0 euro;42;existing credits paid back duly till now;radio/television;7174;unknown/ no savings account;4  <= ... < 7 years;4;female : divorced/separated/married;none;3;(if not optin 1 or 2) car or other, not in attribute;30;none;own;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
118;... <  0 euro;10;critical account/other credits existing (not at this bank);furniture/equipment;2132;unknown/ no savings account;... < 1 year;2;female : divorced/separated/married;co-applicant;3;real estate;27;none;rent;2;skilled employee / official;1;none;no;0
119;... <  0 euro;33;critical account/other credits existing (not at this bank);furniture/equipment;4281;255 euro <= ... < 511 euro;1  <= ... < 4 years;1;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;23;none;own;2;skilled employee / official;1;none;yes;1
120;0 <= ... <  102 euro;12;critical account/other credits existing (not at this bank);car (new);2366;255 euro <= ... < 511 euro;4  <= ... < 7 years;3;male   : divorced/separated;none;3;(if not optin 1 or 2) car or other, not in attribute;36;none;own;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
121;... <  0 euro;21;existing credits paid back duly till now;radio/television;1835;... <  51 euro;1  <= ... < 4 years;3;female : divorced/separated/married;none;2;real estate;25;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;1
122;No checking account;24;critical account/other credits existing (not at this bank);car (used);3868;... <  51 euro;.. >= 7 years;4;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;41;none;rent;2;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
